user,star,eval,content,votes,date
mi4444d,2009-01-03,Carice van Houten帮Sebastian Koch后来真的谈朋友了哇！,推荐,4,0
ACSHW,2010-09-01,范霍文的片子对我都还行，女主角演这部戏受苦受大了！他的私处颜色很“耀眼”！,还行,3,1
冷冷,2008-05-21,这个女人真美，这个纳粹的军官真有人性。她的每套服装都让她看起来纤细漂亮，他的每个为爱付出的行为都让人为之感动。战争中的是与非已经没有办法评判，只有真心的爱流传下来。让我想起很久前很流行的一句话“高尚是高尚者的墓志铭，卑鄙是卑鄙人的通行证”。,力荐,5,1
杨安康,2007-08-17,一个曲折离奇的战争故事，在国家与民族的战争间裹挟着男人与女人的战争，彰显人性的脆弱与坚强。,推荐,4,0
陶子冬,2012-02-25,07年所看电影十大排名第二，碟片不见了正在下载。第一名是想飞的钢琴少年。,力荐,5,2
bay135,2010-09-08,跌宕起伏，cult味儿十足的谍战电影。电影院看的，又来又补看了删减的片段。。很给力哦。09.02.05  180701 重新从头到尾看了无删减的版本。。确实是个观赏性很强的电影。荷兰版色戒，但是剧情悬念很强。十分值得一看，很完整又有很出彩的段落！年度佳作,推荐,4,1
Thoreau,2010-07-18,导演保罗维霍文的惊人之作；大爱卡里斯·范·侯登，大爱塞巴斯蒂安·考奇；你们应该感到羞耻！！！,推荐,4,0
菇仔,2011-06-08,很好看，我喜欢这个妹.又看到一堆傻B影评，就你们看过色戒！然后就往色戒上扯！根本两回事好吗傻B,力荐,5,1
sabrina,2013-01-05,被解放后的荷兰人又延续了他们之前痛恨惧怕的罪恶，这是我对电影印象最深的一个部分。,推荐,4,0
∞∞∞∞∞,2009-04-22,在不看国内阉割版的情况下，这是一部不错的电影,推荐,4,1
排骨,2012-08-11,全片皆曲折和悬念 两个多小时很流畅一点也不觉得冗长 女主的气质和演红袍女时完全不一样 实力派！而且脸蛋和身材都无敌了！Muntze这炮灰当得有点莫名 看到一半才想起来原来是窃听风暴里的军官 小本子出现得好晚 没看时还以为会是女主把黑名单列在本子上一个个干掉的剧情,推荐,4,0
胡桃夹子,2011-01-24,开头让我想到了《色戒》，结尾则让我想起了《双城记》。,推荐,4,0
pinkjar,2009-12-19,纳粹检查证件跟保安查我们的学生证态度有什么分别。,力荐,5,0
Dita,2012-04-10,女主还是在冰火里面最漂亮><红发！！！！,还行,3,1
空谷幽兰徐小宝,2009-01-11,太赞了太赞了太赞了，演技出众，情节曲折，高潮迭起，绝无冷场！,力荐,5,0
